country,life_expectancy_female,life_expectancy_male,expected_schooling_female,expected_schooling_male,mean_schooling_female,mean_schooling_male,gni_female,gni_male,maternal_mortality_ratio,adolescent_birth_rate,parliament_seat_percentage,secondary_education_percentage_female,secondary_education_percentage_male,labor_force_participation_female,labor_force_participation_male
Senegal,69.3,64.8,9.5,8.5,1.6,4.5,"2,258","4,468",315,66.5,43,11.1,30.9,33.5,56.7
Djibouti,65,59.7,7.5,7.4,..,..,"2,179","7,911",248,22.7,26.2,..,..,17.2,44.1
Sudan,67.9,62.7,7.7,8.1,3.4,4.2,"1,833","5,320",295,79.9,31,16.4,20.1,28.7,67.8
Madagascar,66.9,62.2,10.2,10.1,4.9,5.3,"1,284","1,682",335,119.4,17.2,27.3,29.8,81.5,87.6
Gambia,63.5,60.7,10.3,8.5,3.8,5.6,"1,649","2,701",597,63.2,8.6,29.9,43.2,48.9,66.3
Ethiopia,68.3,61.9,9.8,9.6,2.2,4.2,"1,944","2,774",401,69.2,39.5,9.1,20.1,72.3,84.7
Eritrea,68.7,64.3,7.5,8.6,..,..,"1,387","2,079",480,64.4,22,..,..,70.2,83.6
Guinea-Bissau,61.8,57.4,10,11.2,2.4,4.9,"1,561","2,264",667,87.5,13.7,9.8,22.8,63.9,78.4
Liberia,62.1,59.4,10.1,10.8,3.9,6.3,"1,062","1,518",661,123.4,9.7,20.8,39.2,69.8,79.7
Congo (Democratic Republic of the),61.5,57,9.6,10.1,5.6,8.5,896,"1,259",473,109,14.3,40.3,69.1,61.2,69.1
Afghanistan,65.3,58.9,7.7,12.7,2.3,3.4,533,"3,089",638,82.6,27.2,6.4,14.9,14.8,66.5
Sierra Leone,61.4,58.8,9.6,9.9,3.5,5.8,"1,453","1,789","1,120",100.9,12.3,34.7,51.5,56.1,55.9
Guinea,60.1,57.6,8.6,11,1.3,3.2,"2,320","2,645",576,114.8,16.7,7.2,19.7,62.1,62.2
Yemen,67.1,60.6,7.7,10.5,2.9,5.1,176,"2,428",164,54.4,0.3,22.4,37.5,6,67.6
Burkina Faso,61,57.5,9.1,9.2,1.6,2.7,"1,659","2,580",320,110.5,6.3,11.3,17.1,57.2,72.7
Mozambique,62.4,56.2,9.8,10.7,2.4,4.1,"1,096","1,304",289,165.8,42.4,10.8,20.2,77.7,78.9
Mali,60.3,57.6,6.8,7.9,2.4,2.2,"1,483","2,770",562,150.1,27.3,8,15.5,57.7,79.7
Burundi,63.6,59.7,10.9,10.5,2.5,3.9,668,797,548,53.6,38.9,7.8,13,79,77.4
Central African Republic,56.3,51.6,6.7,9.4,3.1,5.6,770,"1,162",829,160.5,12.9,13.9,31.6,63.3,79.5
Niger,62.8,60.4,6.3,7.6,1.7,2.8,936,"1,535",509,170.5,25.9,9.2,15.2,61.7,84.3
Chad,54.3,50.8,6.6,9.5,1.5,3.7,965,"1,760","1,140",138.3,32.3,7.7,24.4,46.9,69.9
South Sudan,56.5,53.4,4.5,6.6,4.8,6.2,664,873,"1,150",99.2,32.3,26.5,36.4,70.4,73.6
